"Carimbo de data/hora","Na tua opinião, este projeto foi importante no teu processo de aprendizagem?","De qual tarefa (fase) do projeto mais gostaste?","Esta metodologia de trabalho (projeto) torna a aula de Desenho mais interessante?","A forma como o projeto foi estruturado ajudou-te na construção do processo de aprendizagem?","Farias alguma alteração na estrutura deste projeto de modo a melhorar o seu funcionamento e resultados?","Se respondeste ""Sim"" à questão anterior, podes fazer aqui as tuas sugestões.","Este projeto ajudou-te a compreender melhor o tema da Figura Humana?","Este projeto ajudou-te a desenvolver a capacidade de desenho da Figura Humana?","Este projeto ajudou-te a explorar a plasticidade do meio atuante (grafite, carvão vegetal, carvão sintético)?","As aulas teóricas ajudaram-te a percepcionar, de forma mais clara, a representação do corpo humano na Arte Contemporânea?","Porquê?","A visita de estudo a Lisboa, nomeadamente à exposição de Carlos Bunga, ajudou-te a compreender o que é uma instalação artística?","A visita à exposição de Carlos Bunga permitiu-te a compreender o corpo humano como meio de expressão artística?","Este projeto fez com que te interessasses mais pelo estudo da Figura Humana?","Porquê?","Sentes que o exercício de quebra-gelo foi útil para este projeto? (primeira aula em que vieram todos para o lugar do professor) ","A escolha das pessoas teve impacto no teu envolvimento com a proposta?","Do teu ponto de vista, saberes que o trabalho seria exposto num espaço museológico (Mosteiro de Tibães) contribuiu para a tua motivação para o projeto? ","Na tua opinião, a atividade proposta no âmbito da Figura Humana ser um projeto coletivo, nomeadamente uma instalação, foi interessante?","Porquê?","Na tua opinião, a expressão gráfica da Lurdes Castro fez sentido no produto final deste projeto?","O projeto que desenvolveste motivou-te a explorar o desenho da Figura Humana?","Depois deste projeto ficaste motivado para desenvolver mais desenhos a carvão vegetal?","Na tua opinião, a modalidade de trabalho coletivo seria algo interessante a desenvolver no futuro?","Gostaste do resultado do teu desenho final?","Sentes que desenvolveste aprendizagens neste projeto?","Em qual fase do processo tiveste mais dificuldades?","Qual fase do processo foi, para ti, a mais interessante?","Ao longo do desenvolvimento do desenho da Figura Humana, sentes que este projeto te ajudou a desenvolver aprendizagens ao nível:","Este projeto despertou-te para a observação da sociedade e das pessoas à tua volta?","Depois de desenvolveres este projeto, sentes-te mais apto a decifrar o estado de espírito de uma pessoa ao observares a sua postura e as suas mãos?","Achas que observar a postura e as formas da pessoa te permite perceber sua saúde mental?","Como artista, achas importante refletir sobre o nosso ambiente e comunidade?","Achas que o artista, enquanto membro da sociedade, é um reflexo da Saúde Mental coletiva e individual?","Porquê?","A pessoa que selecionaste para desenhar era:","Este projeto ajudou-te a compreender melhor a dimensão da Saúde nomeadamente a saúde mental (Cidadania e Desenvolvimento)?","Porquê?","Se quiseres, aproveita para fazeres uma reflexão sobre como é que este projeto teve impacto na forma como observas  o mundo ao teu redor."
"2026/03/27 12:36:51 p.m. CET","2","Tarefa nº1: Estudos da Figura Humana.","2","3","Não","","2","3","2","2","Deu para entender de uma forma mais expressiva como se retrata a figura humana","Muito","Razoavelmente","2","Porque gostei de trabalhar numa escala maior apesar de ter mais trabalho","2","3","2","1","Porque trabalhamos todos juntos para um projeto","2","Sim","Sim","Sim","3","2","Estudos das mãos;Desenho expressivo das mãos","Estudos estruturais;Estudos volumétricos;Desenho em grande escala","da estrutura, proporções.","2","2","2","1","2","Sim porque o artista pode expor trabalhos sobre isso demonstrando a nossa sociedade como um todo","Familiar","2","Porque entendi como a postura de alguém pode transmitir sentimentos ",""
"2026/03/27 12:37:25 p.m. CET","2","Tarefa nº3: Desenho final (grande escala) para a Instalação","2","3","Não","","3","3","2","1","As aulas teóricas ajudaram-me a compreender que, na Arte Contemporânea, o corpo humano é usado como forma de expressão e não apenas como representação estética. Passei a interpretá-lo de forma mais crítica.","Razoavelmente","Razoavelmente","2","Este projeto fez com que me interessasse mais pelo estudo da Figura Humana porque me permitiu explorar diferentes formas de representação e expressão do corpo.
Ao praticar e analisar, desenvolvi um olhar mais atento e crítico sobre os seus detalhes e significados.","2","1","3","2","Na minha opinião, o facto de a atividade ser um projeto coletivo, como uma instalação, foi interessante porque permitiu a partilha de ideias e diferentes perspetivas.","3","Sim","Sim","Não","3","2","Estudos volumétricos;Desenhos da forma humana (estudos completos)","Estudos rápidos (primeira aula);Estudos das mãos","da anatomia (volumetria da forma humana).","3","2","2","2","2","pq sim","Familiar","2","sim pq fiquei a entender melhor a saúde mental ",""
"2026/03/27 12:38:20 p.m. CET","1","Tarefa nº3: Desenho final (grande escala) para a Instalação","2","1","Não","","2","1","1","2","A explicação da professora nas aulas teóricas foi essencial para ajudar a compreender o processo de trabalho e para entendermos o desenho da figura humana aplicado na arte contemporânea.","Muito","Razoavelmente","1","A forma como o projeto foi abordado no geral, sem ser apenas o desenho realista da figura humana, contribuiu para o interesse do estudo da figura humana e para o estudo do tema de maneira mais expressiva.","2","1","1","1","Foi uma maneira interessante de abordar o tema, diferente daquilo que costumamos fazer.","1","Sim","Sim","Sim","2","2","Estudos rápidos (primeira aula);Estudos volumétricos;Desenho expressivo das mãos","Desenhos da forma humana (estudos completos);Estudos das mãos;Desenho expressivo das mãos;Desenho em grande escala","da estrutura, proporções.;da anatomia (volumetria da forma humana).","2","2","2","1","1","O artista por si mesmo já é parte da sociedade e, por outro lado nas suas obras pode refletir o estado da mesma.","Familiar","2","Ao longo do trabalho fomos refletindo, no nosso trabalho e nos dos outros, sobre o significado de cada um e a contribuição de cada pessoa na sociedade e na saúde mental da mesma.",""
"2026/03/27 12:43:43 p.m. CET","1","Tarefa nº3: Desenho final (grande escala) para a Instalação","1","1","Não","","2","1","2","2","Importante, porque através da postura pode transmitir significados e sensações.","Não fui à visita","Não fui à visita","2","Interessante saber o que podemos transmitir apenas pela figura humana ","4","4","2","1","Muitas figuras diferentes e com perceção diferentes.","2","Sim","Sim","Sim","1","2","Estudos rápidos (primeira aula);Estudos volumétricos","Desenhos da forma humana (estudos completos);Estudos das mãos;Desenho expressivo das mãos;Desenho em grande escala;Desenho da silhueta","da estrutura, proporções.;da anatomia (volumetria da forma humana).;do movimento.","2","3","2","1","2","Sim ","Familiar","2","Sim",""
"2026/03/27 12:44:02 p.m. CET","2","Tarefa nº3: Desenho final (grande escala) para a Instalação","2","2","Não","","1","2","2","3","Ajudaram para conseguir compreender as avariadas representações que a figura humana pode ter.","Muito","Razoavelmente","2","Sim, porque fiquei com curiosidade em estudar mais a fundo para representar os meus entes queridos.","3","2","1","2","Porque não ficamos focados só nos nossos trabalho ","2","Sim","Não","Sim","1","1","Pesquisa e seleção da pessoa a retratar;Estudos das mãos;Desenho expressivo das mãos","Estudos das mãos;Desenho expressivo das mãos;Desenho em grande escala","da estrutura, proporções.","2","3","4","2","2","Sim porque querendo ou não somos sempre afetados pelos ambientes á nossa volta.","Outro","2","Fez-me refletir que até os mínimos detalhes mostram alguma coisa.",""
"2026/03/27 12:46:50 p.m. CET","2","Tarefa nº3: Desenho final (grande escala) para a Instalação","2","2","Não","","2","2","1","2","Ajudou a compreender os conceitos desse tema, e como funciona e como realizar o corpo humano. ","Muito","Muito","1","Nunca me chamou atenção este lado de desenho sobre corpo humano, porém com este projeto, interessei-me mais pois, podemos expressar várias emoções com o corpo ou apenas com as mãos como foi feito. E percebi que com esforço e estudo, até consigo realizar beneficamente.","2","1","2","1","Porque consegui ver as perspectivas diferentes dos meus colegas relacionado a sociedade de hoje e como todos conseguiram encaixar bem e contar aquilo que sentem.","1","Sim","Sim","Sim","1","2","Estudos estruturais;Estudos volumétricos;Estudos das mãos","Estudos estruturais;Estudos volumétricos;Desenhos da forma humana (estudos completos);Estudos das mãos;Desenho expressivo das mãos;Desenho em grande escala","da estrutura, proporções.;da anatomia (volumetria da forma humana).;do movimento.","2","2","1","1","1","Na minha opinião, os artistas acabam por transmitir nas suas obras aquilo que sentem e aquilo que observam na sociedade. Apartir dela, mostram emoções como tristeza, ansiedade ou felicidade, aquilo que eles mesmos sentem e como também das pessoas a sua volta. ","Estranho","2","Porque ajudou a compreender mais a saúde mental e como ela afeta as pessoas no diaa dia, e como podemos expressar-la apartir da arte.",""
"2026/03/27 12:48:32 p.m. CET","1","Tarefa nº1: Estudos da Figura Humana.","1","1","Não","","1","1","1","2","Melhor compreensão do corpo na arte","Não fui à visita","Não fui à visita","2","É um pouco difícil ","1","2","1","1","Deixou o trabalho mais criativo e colaborativo","2","Não","Não","Sim","2","2","Estudos estruturais;Estudos volumétricos;Desenhos da forma humana (estudos completos);Estudos das mãos;Desenho expressivo das mãos","Estudos rápidos (primeira aula)","do movimento.","1","2","4","2","2","Reflete emoções e vivências da sociedade ","Familiar","2","Aumentou a consciência sobre saúde mental da sociedade ","Comecei a reparar mais nas pessoas e no que elas sentem"
"2026/03/27 12:55:57 p.m. CET","1","Tarefa nº2: Desenho Expressivo da Figura Humana escolhida (corpo inteiro e mãos).","1","3","Não","","2","1","2","1","Porque ajudaram me a fugir um pouco do conceito e da representação clássica e realista do corpo humano. Para desenvolver o desenho de forma mais expressivo ","Não fui à visita","Não fui à visita","1","Porque me ajudou a desenvolver o desenho de forma espontânea","1","1","2","2","Porque saí da minha zona de conforto. Onde cada um de nós tem um trabalho individual que não se conecta necessariamente com os dos outros colegas. E neste projeto temos de pensar no todo de forma coletiva.","2","Sim","Sim","Sim","2","1","Desenhos da forma humana (estudos completos);Estudos das mãos","Estudos rápidos (primeira aula);Pesquisa e seleção da pessoa a retratar;Desenho expressivo das mãos","da estrutura, proporções.","3","3","2","1","1","Porque os artistas utilizam os meios mais explícitos para expressar o que sentem no interior. E de como a sociedade é e se sente atualmente.","Amigo/a","3","Não senti muita diferença na minha forma de dimensionar a importância da saúde mental em comparação depois deste trabalho e antes.",""
"2026/03/27 5:57:07 p.m. CET","2","Tarefa nº2: Desenho Expressivo da Figura Humana escolhida (corpo inteiro e mãos).","1","1","Não","","1","2","2","2","Ajudaram sim, mas acho que ajudou mais a práctica ","Não fui à visita","Não fui à visita","1","Por que tudos os corpos são diferentes, e isso é interessante ","2","3","1","1","Por que é uma proposta muito diferente, já que era desenhar a silhueta e as mãos, e o resultado final fico incrível ","1","Sim","Sim","Sim","1","1","Pesquisa e seleção da pessoa a retratar;Desenhos da forma humana (estudos completos)","Estudos das mãos;Desenho expressivo das mãos;Desenho em grande escala","da anatomia (volumetria da forma humana).","2","3","4","2","3","Porque é que um artista escolhe o que recriar nas suas obras, um artista não baseia necessariamente o seu trabalho na saúde mental da sociedade.","Estranho","2","Sim, porque foi um tema que explorámos a fundo para o podermos concretizar.",""
"2026/03/27 7:55:15 p.m. CET","1","Tarefa nº3: Desenho final (grande escala) para a Instalação","1","1","Não","","2","1","1","1","porque aprendemos diversas formas para representar o corpo humano para alem do desenho realista","Muito","Muito","2","Fiquei mais interessado ao conhecer as novas formas de representar o corpo humano, neste caso a silhueta","2","1","1","1","porque nos fez trabalhar numa ideia conjunta que quisessemos partilhar ","1","Sim","Sim","Sim","2","1","Estudos estruturais","Desenho expressivo das mãos","da anatomia (volumetria da forma humana).","2","2","2","1","1","porque através da arte, pode-se transmitir a a situaçao da saúde mental de uma pessoa, permitindo a reflexão ","Familiar","1","Porque refleti mais sobre a saúde mental e oque as posturas das pessoas demonstram na saude mental das mesmas",""
